151     
3     
10 10 10   
50 50 50   
0 50 50 0  
1 5.4742 13.6639 4  
2 56.5324 18.5728 2  
3 28.8969 88.0965 1  
4 46.2325 67.5018 4  
5 60.2775 16.4114 5  
6 46.5764 36.9013 5  
7 92.7474 19.1074 5  
8 72.4842 84.9199 4  
9 85.5653 43.2486 3  
10 74.327 9.2286 4  
11 61.692 33.1416 5  
12 10.1566 87.8063 5  
13 42.1136 50.7648 4  
14 7.5944 7.3161 3  
15 41.5944 99.887 4  
16 96.1876 62.2897 1  
17 39.6928 10.7336 2  
18 30.6911 17.1037 2  
19 15.4375 51.4231 5  
20 47.7836 58.609 1  
21 5.9529 63.4696 3  
22 94.8738 50.1757 2  
23 9.1267 87.6559 1  
24 2.1709 1.5146 3  
25 90.6468 41.9378 4  
26 49.5945 1.9757 5  
27 55.0251 21.5767 3  
28 20.4772 73.5309 4  
29 2.8866 99.2709 1  
30 3.2654 53.5683 3  
31 31.9798 57.6664 3  
32 43.3098 86.1053 3  
33 47.6581 77.4189 2  
34 41.1876 83.3513 2  
35 64.059 86.2566 1  
36 54.9205 56.9563 4  
37 27.2061 80.5042 5  
38 98.816 39.2866 2  
39 5.4022 34.3854 3  
40 27.3945 2.0555 5  
41 17.8153 36.2656 1  
42 1.7528 73.7875 1  
43 80.9042 92.0599 4  
44 84.9124 11.9771 1  
45 15.1496 44.7118 3  
46 90.9504 78.0381 4  
47 83.8747 77.7822 1  
48 68.8555 52.2921 3  
49 99.6875 66.5626 2  
50 76.4038 8.9044 1  
51 5.4742 13.6639 3  
52 56.5324 18.5728 2  
53 28.8969 88.0965 4  
54 46.2325 67.5018 1  
55 60.2775 16.4114 4  
56 46.5764 36.9013 5  
57 92.7474 19.1074 2  
58 72.4842 84.9199 1  
59 85.5653 43.2486 2  
60 74.327 9.2286 2  
61 61.692 33.1416 5  
62 10.1566 87.8063 5  
63 42.1136 50.7648 5  
64 7.5944 7.3161 1  
65 41.5944 99.887 1  
66 96.1876 62.2897 1  
67 39.6928 10.7336 1  
68 30.6911 17.1037 2  
69 15.4375 51.4231 3  
70 47.7836 58.609 1  
71 5.9529 63.4696 3  
72 94.8738 50.1757 4  
73 9.1267 87.6559 3  
74 2.1709 1.5146 5  
75 90.6468 41.9378 2  
76 49.5945 1.9757 4  
77 55.0251 21.5767 1  
78 20.4772 73.5309 5  
79 2.8866 99.2709 3  
80 3.2654 53.5683 4  
81 31.9798 57.6664 3  
82 43.3098 86.1053 2  
83 47.6581 77.4189 5  
84 41.1876 83.3513 2  
85 64.059 86.2566 3  
86 54.9205 56.9563 3  
87 27.2061 80.5042 4  
88 98.816 39.2866 1  
89 5.4022 34.3854 4  
90 27.3945 2.0555 1  
91 17.8153 36.2656 1  
92 1.7528 73.7875 1  
93 80.9042 92.0599 3  
94 84.9124 11.9771 1  
95 15.1496 44.7118 2  
96 90.9504 78.0381 5  
97 83.8747 77.7822 4  
98 68.8555 52.2921 3  
99 99.6875 66.5626 1  
100 76.4038 8.9044 5  
101 5.4742 13.6639 3  
102 56.5324 18.5728 4  
103 28.8969 88.0965 5  
104 46.2325 67.5018 3  
105 60.2775 16.4114 2  
106 46.5764 36.9013 1  
107 92.7474 19.1074 3  
108 72.4842 84.9199 3  
109 85.5653 43.2486 4  
110 74.327 9.2286 2  
111 61.692 33.1416 3  
112 10.1566 87.8063 2  
113 42.1136 50.7648 2  
114 7.5944 7.3161 5  
115 41.5944 99.887 3  
116 96.1876 62.2897 4  
117 39.6928 10.7336 2  
118 30.6911 17.1037 5  
119 15.4375 51.4231 2  
120 47.7836 58.609 4  
121 5.9529 63.4696 4  
122 94.8738 50.1757 2  
123 9.1267 87.6559 1  
124 2.1709 1.5146 2  
125 90.6468 41.9378 2  
126 49.5945 1.9757 4  
127 55.0251 21.5767 3  
128 20.4772 73.5309 5  
129 2.8866 99.2709 5  
130 3.2654 53.5683 3  
131 31.9798 57.6664 2  
132 43.3098 86.1053 1  
133 47.6581 77.4189 1  
134 41.1876 83.3513 3  
135 64.059 86.2566 2  
136 54.9205 56.9563 1  
137 27.2061 80.5042 3  
138 98.816 39.2866 4  
139 5.4022 34.3854 3  
140 27.3945 2.0555 2  
141 17.8153 36.2656 2  
142 1.7528 73.7875 3  
143 80.9042 92.0599 5  
144 84.9124 11.9771 4  
145 15.1496 44.7118 1  
146 90.9504 78.0381 3  
147 83.8747 77.7822 3  
148 68.8555 52.2921 2  
149 99.6875 66.5626 3  
150 76.4038 8.9044 1  
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
     
